model,name_dist,algo,time,epc
SW,uniform,Degree-based,0.02620964600100706,3399.3027
SW,uniform,Betweenness,0.08092440700056613,5252.9814
SW,uniform,PageRank,0.018051447999823722,2687.8617
SW,uniform,Greedy,4.30566372100111,3195.5256
SW,uniform,Greedy + Local Search,168.3229322799998,4312.7235
SW,uniform,Greedy with MIS,10.567567584999779,3688.5321
SW,uniform,Greedy with MIS + Local Search,269.01708257500104,3039.9525
SW,uniform,GNN (1 shot),0.07582379199993738,3912.4296
SW,uniform,GNN (1 shot) + Local Search,151.71401066699946,3157.6005
SW,uniform,Greedy GNN,0.6324701650009956,4380.0507
SW,uniform,Greedy GNN + Local Search,120.35199682799976,3321.1827
SW,normal,Degree-based,0.03524433199891064,2790.342
SW,normal,Betweenness,0.07548372699966421,3144.4002
SW,normal,PageRank,0.04760694099968532,3705.4089
SW,normal,Greedy,4.158932006999748,2880.9972
SW,normal,Greedy + Local Search,169.41651235799873,3953.7441
SW,normal,Greedy with MIS,9.477924746001008,2986.2063
SW,normal,Greedy with MIS + Local Search,231.3566355109997,1610.6391
SW,normal,GNN (1 shot),0.07687635000002047,4726.5804
SW,normal,GNN (1 shot) + Local Search,132.16197956500037,2897.9019
SW,normal,Greedy GNN,0.6581381050000346,3961.3905
SW,normal,Greedy GNN + Local Search,134.30253266100044,3133.0962
SW,beta,Degree-based,0.004055962999700569,234.6966
SW,beta,Betweenness,0.041482370001176605,266.4585
SW,beta,PageRank,0.005498717000591569,289.6956
SW,beta,Greedy,1.2623616529999708,286.6491
SW,beta,Greedy + Local Search,55.293395450999014,258.5799
SW,beta,Greedy with MIS,7.389744169000551,314.2872
SW,beta,Greedy with MIS + Local Search,37.190810615999,258.9687
SW,beta,GNN (1 shot),0.06239347500013537,313.6986
SW,beta,GNN (1 shot) + Local Search,40.851387239999895,240.2451
SW,beta,Greedy GNN,0.6550536699996883,239.7015
SW,beta,Greedy GNN + Local Search,50.10921530700034,233.4915
