,model,p,algo,time,epc
0,ER,0.0,Degree-based,1.001915481996548,0.0
1,ER,0.0,Betweenness,0.022983392002061,0.0
2,ER,0.0,PageRank,0.018107998999767,0.0
3,ER,0.0,Greedy,0.0371769370030961,0.0
4,ER,0.0,Greedy + Local Search,0.2141620719994534,0.0
5,ER,0.0,Greedy with MIS,0.3961164949942031,0.0
6,ER,0.0,Greedy with MIS + Local Search,2.2094272580070538,0.0
7,ER,0.0,REGA,0.447584198002005,0.0
8,ER,0.0,REGA + Local Search,0.6143474409982446,0.0
9,ER,0.0,GRASP,0.634256422999897,0.0
10,ER,0.0,GRASP + Local Search,3.340223557999707,0.0
11,ER,0.0,GRASP + Path Relinking,3.719329032996029,0.0
12,ER,0.0,GRASP + Path Relinking + Local Search,2.172929667998688,0.0
13,ER,0.0,GNN (1 shot),0.2894884349952917,0.0
14,ER,0.0,GNN (1 shot) + Local Search,0.204072314001678,0.0
15,ER,0.0,Greedy GNN,0.1267937910015462,0.0
16,ER,0.0,Greedy GNN + Local Search,1.1690636290004477,0.0
17,ER,0.1,Degree-based,0.0017514479986857,16.7778
18,ER,0.1,Betweenness,0.0132667330035474,16.9047
19,ER,0.1,PageRank,0.0029555599976447,16.53345
20,ER,0.1,Greedy,0.0459857780006132,18.4212
21,ER,0.1,Greedy + Local Search,1.750657010001305,19.36215
22,ER,0.1,Greedy with MIS,0.9823567740022554,17.0793
23,ER,0.1,Greedy with MIS + Local Search,1.447574760997668,17.16795
24,ER,0.1,REGA,0.5131205009965925,21.4857
25,ER,0.1,REGA + Local Search,1.997995876998175,18.35595
26,ER,0.1,GRASP,0.720784391000052,16.5816
27,ER,0.1,GRASP + Local Search,1.6204787399983616,16.34085
28,ER,0.1,GRASP + Path Relinking,1.8587107530038336,18.56655
29,ER,0.1,GRASP + Path Relinking + Local Search,3.914724276997731,16.57575
30,ER,0.1,GNN (1 shot),0.02304314399953,17.12835
31,ER,0.1,GNN (1 shot) + Local Search,0.6845063879954978,16.43715
32,ER,0.1,Greedy GNN,0.1267511979967821,16.9173
33,ER,0.1,Greedy GNN + Local Search,1.9587419020026573,16.3368
34,ER,0.2,Degree-based,0.0019662919949041,49.27545
35,ER,0.2,Betweenness,0.0140279850020306,50.15475
36,ER,0.2,PageRank,0.0030932189984014,48.64725
37,ER,0.2,Greedy,0.0917804410055396,51.18615
38,ER,0.2,Greedy + Local Search,3.321610562001297,47.08305
39,ER,0.2,Greedy with MIS,1.1056981820001963,56.0223
40,ER,0.2,Greedy with MIS + Local Search,1.942311573002371,47.25495
41,ER,0.2,REGA,0.525665229994047,60.41835
42,ER,0.2,REGA + Local Search,2.446620868002356,48.36735
43,ER,0.2,GRASP,0.9223211459975572,47.35575
44,ER,0.2,GRASP + Local Search,3.9316454869986046,46.98225
45,ER,0.2,GRASP + Path Relinking,3.626702902998659,47.96415
46,ER,0.2,GRASP + Path Relinking + Local Search,4.289183758002764,49.6332
47,ER,0.2,GNN (1 shot),0.0407737240020651,51.97185
48,ER,0.2,GNN (1 shot) + Local Search,0.8347982949999277,47.31525
49,ER,0.2,Greedy GNN,0.1395012349967146,49.2678
